State,2015,Rank,State,2014,Rank,State,2013,Rank,State,2012,Rank,State,2011,Rank
CA,9108000000,1,CA,7391000000,1,CA,6801000000,1,CA,6537000000,1,CA,6793000000,1
FL,1308566053,2,FL,1305936102,2,FL,1289288103,2,FL,1412985314,2,FL,1791857219,2
NY,1251843000,3,NY,918052000,3,NY,897781000,3,NY,1085226000,3,NY,947722000,3
CO,776681293,4,CO,807425467,4,CO,692333194,4,CO,691028112,4,PA,677297000,4
PA,710558000,5,PA,693023000,5,SC,669854406,5,PA,674941000,5,CO,660252429,5
SC,692116993,6,SC,676344671,6,PA,662640000,6,SC,653287073,6,SC,642789650,6
AL,595886002,7,WI,549737800,7,WI,561677000,7,WI,467043600,7,IL,568183100,7
WI,574854600,8,MI,517168800,8,OH,548125357,8,IL,463668300,8,WI,564717100,8
OH,524904894,9,OH,478588941,9,VA,481441541,9,OH,440260403,9,OH,557451950,9
MI,502591800,10,MO,447743447,10,MO,442217429,10,MI,422987100,10,TX,472774096,10
MO,454542115,11,OR,437045137.5,11,MD,438614337,11,OR,421398980.5,11,OR,421398980.5,11
OR,437742994.5,12,IL,396075000,12,OR,437045137.5,12,MO,416646793,12,VA,400402974,12
WA,414059500,13,WA,390016500,13,MI,425979000,13,VA,369447482,13,MI,395655700,13
IL,402300000,14,TX,372295156,14,WA,390016500,14,TX,351391149,14,TN,358265300,14
VA,396734638,15,VA,368810035,15,IL,368553000,15,WA,347704500,15,WA,347704500,15
TX,356616276,16,MD,341469440,16,AL,350865483,16,AL,315561972,16,MO,344903749,16
MD,344843088,17,AL,339154327,17,TX,340636918,17,TN,295337600,17,AL,303299708,17
TN,330123900,18,TN,330123900,18,TN,298883200,18,GA,262272094,18,GA,267917859,18
WY,265587909,19,WY,267814113,19,WY,267814113,19,UT,257089400,19,UT,256874300,19
ID,264940700,20,ID,256431400,20,ID,254231700,20,MD,242791099,20,ID,240448300,20
UT,257668791,21,GA,253693099,21,GA,253466059,21,WY,240259753.5,21,WY,240259753.5,21
GA,248600677,22,UT,244652000,22,UT,242464000,22,ID,236704800,22,MD,233475248,22
MN,241150000,23,KY,225401400,23,KY,203195053,23,KY,212271475,23,NH,225939534,23
KY,226525700,24,AZ,207272100,24,AZ,195584100,24,NH,198217387,24,KY,197288384,24
AZ,208160500,25,WV,201906476,25,WV,173414325,25,AZ,190718700,25,WV,178298652,25
WV,195072839,26,NJ,183043000,26,MN,157085000,26,WV,178298652,26,NC,165784887,26
NH,188294502,27,NC,157767236,27,IN,154307981.5,27,IN,149049128,27,MN,162974000,27
IN,161061735,28,IN,154307981.5,28,NC,154037311,28,NC,148148105,28,IN,149049128,28
MA,143162000,29,MN,152703000,29,NJ,147103000,29,MN,145622000,29,NJ,145429000,29
NJ,136928000,30,MA,136293000,30,DE,131880700,30,NJ,136194000,30,LA,133898870,30
DE,134164400,31,DE,133062600,31,MA,129314000,31,DE,131610100,31,DE,123677800,31
HI,130881588,32,LA,132993823,32,LA,123424785,32,LA,127106901,32,MA,119109000,32
NV,126482492,33,HI,130936730,33,NH,118652082,33,MA,116998000,33,HI,115192716,33
LA,113321097,34,NH,124447820,34,HI,114048216,34,HI,115192716,34,NV,109356174,34
VT,102026276,35,NV,111813726,35,NV,108179079,35,NV,110190488,35,AZ,96082900,35
RI,88968734,36,VT,99570772,36,VT,89303696,36,VT,88854316,36,VT,88854316,36
AK,87330800,37,AK,87225600,37,AK,83600200,37,AK,79788101,37,KS,78696810,37
NC,81306602,38,RI,79469714,38,RI,79469714,38,NM,79682500,38,AK,77521600,38
IA,79754057,39,IA,75179057,39,KS,73920705,39,ME,77783694,39,ME,77404302,39
NM,79059200,40,NM,73777700,40,NM,69594000,40,KS,67912749,40,NM,74085200,40
ME,74923412,41,ME,69113141,41,ME,67966743,41,RI,67572786,41,RI,66346606,41
KS,68105672,42,KS,66699960,42,MT,58222952,42,MT,58226820,42,MT,59201557,42
MT,57641497,43,MT,57723248,43,AR,50832828,43,AR,49816569,43,AR,53947685,43
MS,52236352,44,MS,48197234,44,MS,45790077,44,MS,46355760,44,MS,46581095,44
AR,51888439,45,AR,47894674,45,IA,45034066,45,IA,45907003,45,IA,45498986,45
CT,26971049,46,NE,32684966,46,CT,27808772,46,SD,33645260,46,SD,33742880,46
ND,24773519,47,CT,28576361,47,ND,25262316,47,CT,26960308,47,CT,27572628,47
SD,23650008,48,ND,25262316,48,SD,21983105,48,ND,26496877,48,ND,26496877,48
NE,22380731,49,SD,22808545,49,NE,21923650,49,NE,22976202,49,NE,24163364,49
OK,13740198,50,OK,19057644,50,OK,13057644,50,OK,13134153,50,OK,13825424,50
