CBSA,State,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
Anchorage, AK,11260,2017,181,136,40,4,1,0,0,155,72,35,0,0,98,0,43,40
Fairbanks, AK,21820,2017,216,147,52,12,5,0,0,168,92,39,0,13,98,0,97,8
Juneau, AK,27940,2017,198,177,20,1,0,0,0,103,52,14,0,0,0,0,198,0
Birmingham-Hoover, AL,13820,2017,273,133,134,6,0,0,0,129,74,51,0,2,75,73,123,0
Daphne-Fairhope-Foley, AL,19300,2017,135,111,23,1,0,0,0,108,61,41,0,0,104,0,31,0
Decatur, AL,19460,2017,181,154,27,0,0,0,0,80,53,40,0,0,99,0,82,0
Dothan, AL,20020,2017,140,125,14,1,0,0,0,131,51,38,0,0,106,0,34,0
Florence-Muscle Shoals, AL,22520,2017,140,128,12,0,0,0,0,63,50,41,0,0,110,0,30,0
Fort Payne, AL,22840,2017,241,219,22,0,0,0,0,80,50,40,0,0,224,0,17,0
Gadsden, AL,23460,2017,178,118,58,1,1,0,0,163,62,45,0,0,73,0,105,0
Huntsville, AL,26620,2017,167,143,24,0,0,0,0,100,58,42,0,0,118,0,22,27
Mobile, AL,33660,2017,181,139,37,5,0,0,0,139,60,41,0,0,96,2,83,0
Montgomery, AL,33860,2017,178,126,49,2,0,1,0,221,62,43,0,0,80,0,98,0
Talladega-Sylacauga, AL,45180,2017,60,47,13,0,0,0,0,70,57,30,0,0,0,0,60,0
Tuscaloosa, AL,46220,2017,171,105,65,1,0,0,0,123,63,46,0,0,44,0,127,0
Arkadelphia, AR,11660,2017,236,226,10,0,0,0,0,74,46,35,0,0,236,0,0,0
El Dorado, AR,20980,2017,273,199,74,0,0,0,0,91,58,39,0,0,0,0,273,0
Harrison, AR,25460,2017,273,262,11,0,0,0,0,61,47,39,0,0,273,0,0,0
Hot Springs, AR,26300,2017,90,79,11,0,0,0,0,70,51,34,0,0,0,0,90,0
Little Rock-North Little Rock-Conway, AR,30780,2017,273,188,84,1,0,0,0,115,59,44,0,0,130,0,143,0
Fayetteville-Springdale-Rogers, AR-MO,22220,2017,273,184,89,0,0,0,0,81,59,45,0,0,142,0,131,0
Fort Smith, AR-OK,22900,2017,267,241,26,0,0,0,0,74,50,38,0,39,181,0,47,0
Flagstaff, AZ,22380,2017,273,185,87,1,0,0,0,105,71,47,0,0,273,0,0,0
Lake Havasu City-Kingman, AZ,29420,2017,258,253,5,0,0,0,0,86,30,16,0,0,0,0,4,254
Nogales, AZ,35700,2017,273,235,38,0,0,0,0,92,55,30,0,0,0,0,125,148
Payson, AZ,37740,2017,273,42,124,90,17,0,0,200,133,85,0,0,76,190,0,7
Phoenix-Mesa-Scottsdale, AZ,38060,2017,301,80,174,42,5,0,0,170,111,67,28,11,175,0,32,55
Prescott, AZ,39140,2017,272,169,98,5,0,0,0,119,77,48,0,0,272,0,0,0
Show Low, AZ,43320,2017,271,189,81,1,0,0,0,101,67,46,0,0,231,0,0,40
Sierra Vista-Douglas, AZ,43420,2017,273,181,90,2,0,0,0,131,71,46,0,0,222,0,15,36
Tucson, AZ,46060,2017,273,110,156,7,0,0,0,122,84,54,0,0,192,0,19,62
Yuma, AZ,49740,2017,273,178,83,10,1,1,0,235,74,45,0,0,180,0,34,59
Bakersfield, CA,12540,2017,203,98,86,19,0,0,0,143,100,51,0,0,134,0,57,12
Bishop, CA,13860,2017,299,168,115,10,0,0,2,2060,84,48,0,0,207,0,5,87
Chico, CA,17020,2017,193,183,10,0,0,0,0,91,41,22,0,0,0,0,193,0
Clearlake, CA,17340,2017,178,177,1,0,0,0,0,54,43,35,0,0,175,0,2,1
