CBSA,State,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
Aberdeen,SD,10100,2006,122,106,16,0,0,0,0,71,53,30,0,0,0,0,113,9
Aberdeen,WA,10140,2006,365,339,26,0,0,0,0,82,40,18,0,0,0,0,365,0
Adjuntas,PR,10260,2006,103,95,8,0,0,0,0,75,48,26,0,0,0,0,103,0
Adrian,MI,10300,2006,172,121,47,4,0,0,0,140,77,44,0,0,172,0,0,0
Akron,OH,10420,2006,365,190,133,41,1,0,0,175,104,49,7,0,130,153,75,0
Albany,GA,10500,2006,116,52,64,0,0,0,0,100,73,53,0,0,0,0,111,5
Albany,OR,10540,2006,362,320,42,0,0,0,0,85,53,20,0,0,0,0,362,0
Albany-Schenectady-Troy,NY,10580,2006,365,306,50,8,1,0,0,159,67,35,2,0,319,8,36,0
Albuquerque,NM,10740,2006,365,77,261,24,1,2,0,212,97,63,0,7,168,0,25,165
Alexandria,LA,10780,2006,122,82,40,0,0,0,0,89,70,40,0,0,0,0,122,0
Allentown-Bethlehem-Easton,PA,10900,2006,365,158,173,25,9,0,0,200,97,55,0,11,72,97,169,16
Allentown-Bethlehem-Easton,NJ,10900,2006,365,158,173,25,9,0,0,200,97,55,0,11,72,97,169,16
Altoona,PA,11020,2006,365,296,65,4,0,0,0,133,64,39,0,76,181,100,0,8
Amarillo,TX,11100,2006,365,347,18,0,0,0,0,59,44,25,0,0,0,0,365,0
Americus,GA,11140,2006,243,153,80,9,1,0,0,156,87,47,0,0,243,0,0,0
Ames,IA,11180,2006,184,163,21,0,0,0,0,97,51,39,0,0,184,0,0,0
Anchorage,AK,11260,2006,308,258,46,4,0,0,0,133,60,23,99,0,0,0,101,108
Ann Arbor,MI,11460,2006,230,141,81,8,0,0,0,126,85,46,0,0,145,0,85,0
Appleton,WI,11540,2006,245,169,70,6,0,0,0,121,71,41,0,0,166,0,79,0
Ardmore,OK,11620,2006,241,132,74,28,7,0,0,182,112,48,0,0,241,0,0,0
Asheville,NC,11700,2006,364,147,200,16,1,0,0,154,90,54,0,0,140,0,224,0
Ashtabula,OH,11780,2006,362,292,57,9,4,0,0,185,84,33,0,0,208,154,0,0
Athens,OH,11900,2006,53,35,18,0,0,0,0,98,67,43,0,0,0,0,53,0
Athens,TN,11940,2006,347,240,89,17,1,0,0,178,80,31,0,155,0,93,93,6
Athens-Clarke County,GA,12020,2006,365,135,200,25,5,0,0,161,100,57,0,0,132,0,233,0
Atlanta-Sandy Springs-Roswell,GA,12060,2006,365,54,222,60,22,7,0,217,140,71,0,8,115,29,213,0
Atlantic City-Hammonton,NJ,12100,2006,360,265,83,10,2,0,0,172,74,38,0,0,277,2,81,0
Augusta-Richmond County,GA,12260,2006,365,127,213,22,3,0,0,169,93,58,0,0,153,0,212,0
Augusta-Richmond County,SC,12260,2006,365,127,213,22,3,0,0,169,93,58,0,0,153,0,212,0
Augusta-Waterville,ME,12300,2006,212,192,18,2,0,0,0,119,50,33,0,0,181,0,0,31
Austin-Round Rock,TX,12420,2006,365,220,109,32,4,0,0,164,100,46,0,4,231,0,130,0
Bakersfield,CA,12540,2006,365,56,129,95,71,14,0,217,175,100,0,4,207,0,149,5
Baltimore-Columbia-Towson,MD,12580,2006,365,124,186,40,14,1,0,205,115,61,0,11,128,16,210,0
Bangor,ME,12620,2006,286,263,22,1,0,0,0,122,48,31,0,0,234,0,44,8
Baraboo,WI,12660,2006,349,288,59,2,0,0,0,114,60,38,0,0,285,0,64,0
Barnstable Town,MA,12700,2006,243,179,47,14,2,1,0,201,87,42,0,2,179,0,62,0
Baton Rouge,LA,12940,2006,365,70,213,65,17,0,0,195,129,70,0,4,132,57,169,3
Bay City,MI,13020,2006,74,45,28,1,0,0,0,123,69,33,0,0,0,0,74,0
Beaumont-Port Arthur,TX,13140,2006,365,80,194,79,12,0,0,200,126,70,0,0,98,142,125,0
Beaver Dam,WI,13180,2006,365,279,81,5,0,0,0,138,64,39,0,0,275,0,79,11
Beckley,WV,13220,2006,118,76,41,1,0,0,0,108,72,42,0,0,0,0,118,0
Bellingham,WA,13380,2006,362,328,34,0,0,0,0,73,48,29,0,0,114,0,248,0
Bend-Redmond,OR,13460,2006,362,325,37,0,0,0,0,86,51,20,7,0,0,0,349,6
Bennington,VT,13540,2006,356,316,37,3,0,0,0,119,53,34,0,0,314,0,42,0
Berlin,NH,13620,2006,245,180,62,3,0,0,0,129,64,40,0,0,168,0,77,0
Berlin,VT,13620,2006,245,180,62,3,0,0,0,129,64,40,0,0,168,0,77,0
Billings,MT,13740,2006,365,189,165,11,0,0,0,123,82,50,0,3,126,204,32,0
Birmingham-Hoover,AL,13820,2006,365,29,258,63,14,1,0,204,119,80,46,0,67,12,200,40
Bishop,CA,13860,2006,365,176,123,47,8,1,1,8195,115,51,0,0,290,0,0,75
Bismarck,ND,13900,2006,365,316,48,1,0,0,0,113,54,37,0,12,303,22,27,1
Bloomington,IL,14010,2006,365,280,78,7,0,0,0,119,68,35,0,0,334,0,31,0
Bloomington,IN,14020,2006,183,103,70,10,0,0,0,136,87,49,0,0,183,0,0,0
Boise City,ID,14260,2006,365,162,171,30,2,0,0,164,97,53,1,0,132,0,222,10
Boone,NC,14380,2006,119,83,36,0,0,0,0,90,71,38,0,0,0,0,119,0
Boston-Cambridge-Newton,MA,14460,2006,365,158,173,31,3,0,0,159,100,53,0,27,101,29,208,0
Boston-Cambridge-Newton,NH,14460,2006,365,158,173,31,3,0,0,159,100,53,0,27,101,29,208,0
Boulder,CO,14500,2006,364,225,120,16,3,0,0,154,90,46,7,0,322,0,34,1
Bowling Green,KY,14540,2006,365,241,117,7,0,0,0,136,79,43,0,11,267,2,85,0
Bozeman,MT,14580,2006,365,317,45,2,1,0,0,188,55,18,26,0,0,0,338,1
Brainerd,MN,14660,2006,346,286,57,3,0,0,0,129,61,33,0,0,129,0,217,0
Branson,MO,14700,2006,118,100,18,0,0,0,0,77,55,31,0,0,0,0,118,0
Breckenridge,CO,14720,2006,307,298,9,0,0,0,0,66,31,13,0,0,0,0,0,307
Bridgeport-Stamford-Norwalk,CT,14860,2006,365,259,77,18,9,2,0,215,90,42,1,108,160,26,70,0
Brookings,SD,15100,2006,131,111,20,0,0,0,0,81,55,31,0,0,0,0,106,25
Brownsville,TN,15140,2006,306,241,50,12,2,1,0,203,84,39,0,5,299,2,0,0
Brownsville-Harlingen,TX,15180,2006,364,231,132,1,0,0,0,101,68,43,0,0,113,0,225,26
Brunswick,GA,15260,2006,282,206,75,1,0,0,0,122,64,43,0,0,192,0,88,2
Buffalo-Cheektowaga-Niagara Falls,NY,15380,2006,365,227,115,21,2,0,0,151,88,43,0,75,176,47,67,0
Burlington,NC,15500,2006,120,61,59,0,0,0,0,100,75,50,0,0,0,0,120,0
Burlington-South Burlington,VT,15540,2006,365,323,40,2,0,0,0,122,54,36,0,26,277,0,62,0
Butte-Silver Bow,MT,15580,2006,365,317,42,6,0,0,0,145,55,22,71,0,0,0,103,191
Cadillac,MI,15620,2006,237,190,39,8,0,0,0,150,64,40,0,0,163,0,74,0
Canton-Massillon,OH,15940,2006,336,192,119,24,1,0,0,172,93,48,71,0,177,0,88,0
Cape Coral-Fort Myers,FL,15980,2006,365,298,60,7,0,0,0,126,64,38,0,0,324,0,34,7
Carbondale-Marion,IL,16060,2006,60,59,1,0,0,0,0,53,29,19,0,0,0,0,0,60
Carlsbad-Artesia,NM,16100,2006,365,263,79,22,1,0,0,161,87,44,0,1,353,1,10,0
Carson City,NV,16180,2006,359,289,67,3,0,0,0,115,67,37,152,0,207,0,0,0
Casper,WY,16220,2006,88,85,3,0,0,0,0,66,31,17,0,0,0,0,0,88
Ca?on City,CO,15860,2006,57,57,0,0,0,0,0,50,25,16,0,0,0,0,0,57
Cedar Rapids,IA,16300,2006,365,247,108,10,0,0,0,126,75,44,8,0,148,147,62,0
Centralia,WA,16500,2006,109,107,2,0,0,0,0,56,22,5,0,0,0,0,109,0
Chambersburg-Waynesboro,PA,16540,2006,213,172,40,1,0,0,0,101,61,42,0,0,213,0,0,0
Champaign-Urbana,IL,16580,2006,365,298,66,1,0,0,0,115,59,34,0,0,290,0,75,0
Charleston,WV,16620,2006,365,178,162,24,1,0,0,159,90,52,0,0,120,145,89,11
Charleston-North Charleston,SC,16700,2006,365,171,175,18,1,0,0,159,87,52,0,3,147,13,202,0
Charlotte-Concord-Gastonia,NC,16740,2006,365,96,210,43,16,0,0,195,116,65,0,5,138,21,201,0
Charlotte-Concord-Gastonia,SC,16740,2006,365,96,210,43,16,0,0,195,116,65,0,5,138,21,201,0
Charlottesville,VA,16820,2006,58,58,0,0,0,0,0,44,31,19,0,0,0,0,0,58
Chattanooga,TN,16860,2006,293,123,139,27,4,0,0,169,101,54,0,0,195,0,93,5
Chattanooga,GA,16860,2006,293,123,139,27,4,0,0,169,101,54,0,0,195,0,93,5
Cheyenne,WY,16940,2006,119,115,4,0,0,0,0,57,29,17,0,0,0,0,93,26
