State,Year,Median AQI
SD,2007,32
WA,2007,24
PR,2007,25
MI,2007,45
OH,2007,46
NM,2007,10
GA,2007,49
OR,2007,26
NY,2007,43
NM,2007,63
LA,2007,40
PA,2007,55
NJ,2007,55
PA,2007,38
TX,2007,24
GA,2007,46
IA,2007,39
AK,2007,22
MI,2007,45
WI,2007,43
OK,2007,46
NC,2007,58
OH,2007,34
OH,2007,42
TN,2007,30
GA,2007,55
GA,2007,71
NJ,2007,40
GA,2007,59
SC,2007,59
ME,2007,33
TX,2007,43
CA,2007,101
MD,2007,61
ME,2007,33
WI,2007,38
MA,2007,38
LA,2007,62
MI,2007,38
TX,2007,56
WI,2007,38
WV,2007,47
WA,2007,24
OR,2007,17
VT,2007,35
NH,2007,43
VT,2007,43
MT,2007,44
AL,2007,75
CA,2007,51
ND,2007,35
IL,2007,39
IN,2007,54
ID,2007,51
NC,2007,41
MA,2007,56
NH,2007,56
CO,2007,45
KY,2007,51
MT,2007,27
MN,2007,34
MO,2007,31
CO,2007,13
WA,2007,24
CT,2007,46
SD,2007,31
TN,2007,39
TX,2007,43
GA,2007,37
NY,2007,52
NC,2007,55
VT,2007,34
MT,2007,29
MI,2007,40
OH,2007,48
FL,2007,38
IL,2007,20
NM,2007,41
NV,2007,36
WY,2007,18
CO,2007,17
IA,2007,44
WA,2007,4
PA,2007,48
IL,2007,37
WV,2007,61
SC,2007,49
NC,2007,67
SC,2007,67
VA,2007,18
TN,2007,61
GA,2007,61
WY,2007,17
IL,2007,77
IN,2007,77
WI,2007,77
CA,2007,49
OH,2007,64
KY,2007,64
IN,2007,64
NH,2007,35
VT,2007,35
WV,2007,52
TN,2007,55
KY,2007,55
CA,2007,32
MS,2007,47
TN,2007,23
OH,2007,69
IA,2007,49
PR,2007,9
ID,2007,39
KS,2007,19
CO,2007,46
SC,2007,58
GA,2007,57
AL,2007,57
MS,2007,50
OH,2007,47
NH,2007,50
TN,2007,48
NY,2007,40
TX,2007,44
OR,2007,15
CA,2007,12
NC,2007,58
TX,2007,56
GA,2007,51
AL,2007,43
IA,2007,59
IL,2007,59
OH,2007,45
AL,2007,57
IL,2007,51
FL,2007,40
NM,2007,42
CO,2007,71
IA,2007,45
MI,2007,61
ND,2007,35
AL,2007,45
GA,2007,51
DE,2007,47
PA,2007,41
MN,2007,42
WI,2007,42
CO,2007,48
NC,2007,52
TN,2007,44
TX,2007,35
PA,2007,39
IL,2007,45
CA,2007,58
AR,2007,9
TX,2007,62
KY,2007,46
IN,2007,53
NV,2007,24
WA,2007,27
NY,2007,34
KS,2007,30
PA,2007,45
NM,2007,9
OR,2007,37
CA,2007,29
WY,2007,43
IN,2007,66
KY,2007,66
AK,2007,32
WV,2007,55
NV,2007,46
ND,2007,32
MN,2007,32
NM,2007,54
NC,2007,54
AR,2007,35
MO,2007,35
NV,2007,45
OH,2007,22
AZ,2007,49
MI,2007,42
SC,2007,48
AL,2007,45
WI,2007,42
CO,2007,50
IA,2007,50
IL,2007,50
MO,2007,50
AL,2007,53
AR,2007,40
OK,2007,40
IN,2007,55
KY,2007,47
CA,2007,87
AL,2007,54
SC,2007,39
FL,2007,40
GA,2007,51
NV,2007,10
SC,2007,25
PA,2007,48
WY,2007,52
CO,2007,54
NC,2007,48
NE,2007,31
CO,2007,44
MI,2007,50
OR,2007,28
MT,2007,8
CO,2007,45
WI,2007,47
NC,2007,55
NC,2007,48
SC,2007,60
SC,2007,56
MS,2007,43
PR,2007,4
MS,2007,51
MD,2007,51
WV,2007,51
LA,2007,43
CA,2007,77
PA,2007,56
AR,2007,42
VA,2007,41
CT,2007,43
MS,2007,53
MT,2007,30
AR,2007,48
OR,2007,42
NC,2007,59
HI,2007,65
SC,2007,38
NM,2007,42
MI,2007,45
FL,2007,35
AR,2007,46
MI,2007,11
LA,2007,45
TX,2007,65
IN,2007,46
WV,2007,60
KY,2007,60
OH,2007,60
AL,2007,46
ID,2007,40
PA,2007,42
IN,2007,69
IA,2007,43
MI,2007,37
WI,2007,37
MS,2007,50
TN,2007,45
WY,2007,43
ID,2007,43
FL,2007,51
NC,2007,35
NY,2007,40
WI,2007,43
IN,2007,58
PA,2007,43
MO,2007,21
AK,2007,17
HI,2007,21
MI,2007,48
MT,2007,37
MO,2007,62
KS,2007,62
NH,2007,37
WA,2007,26
TN,2007,77
VA,2007,77
NY,2007,35
TX,2007,41
NC,2007,46
OR,2007,36
TN,2007,85
IN,2007,51
WI,2007,43
MN,2007,43
OR,2007,21
NH,2007,36
LA,2007,38
IN,2007,54
LA,2007,44
FL,2007,47
AZ,2007,23
FL,2007,43
PA,2007,45
MI,2007,45
WY,2007,32
TX,2007,45
NM,2007,55
NV,2007,63
MS,2007,54
TN,2007,54
OK,2007,38
ID,2007,31
WA,2007,31
ME,2007,32
NE,2007,26
KY,2007,54
OH,2007,31
NE,2007,31
AR,2007,54
UT,2007,52
ID,2007,52
TX,2007,35
WA,2007,18
NM,2007,13
CA,2007,81
KY,2007,74
IN,2007,74
MI,2007,42
NC,2007,48
VA,2007,51
GA,2007,55
CA,2007,40
WI,2007,49
NY,2007,24
NH,2007,37
WI,2007,43
OH,2007,49
NC,2007,55
MN,2007,40
TX,2007,44
IA,2007,31
PR,2007,25
OK,2007,39
TX,2007,44
OR,2007,41
TN,2007,60
MS,2007,60
AR,2007,60
CA,2007,46
MS,2007,50
OK,2007,45
FL,2007,48
IN,2007,47
KY,2007,62
WI,2007,44
MN,2007,53
WI,2007,53
MT,2007,25
AL,2007,42
CA,2007,56
LA,2007,36
MI,2007,52
AL,2007,54
WV,2007,44
TN,2007,61
ID,2007,14
WA,2007,23
IL,2007,54
OH,2007,45
WA,2007,31
IN,2007,54
IA,2007,56
MI,2007,44
OK,2007,30
SC,2007,41
NC,2007,41
CA,2007,46
FL,2007,40
TN,2007,60
MS,2007,42
LA,2007,42
IN,2007,52
PA,2007,39
CT,2007,45
LA,2007,62
OH,2007,23
NY,2007,66
NJ,2007,66
PA,2007,66
MI,2007,47
AZ,2007,52
FL,2007,41
CT,2007,42
FL,2007,40
TX,2007,31
UT,2007,58
NY,2007,21
OK,2007,49
WA,2007,30
NE,2007,60
IA,2007,60
FL,2007,46
WA,2007,21
IL,2007,53
KY,2007,52
NC,2007,58
CA,2007,51
KY,2007,51
IL,2007,51
NV,2007,30
FL,2007,19
FL,2007,42
FL,2007,42
WV,2007,51
AZ,2007,84
FL,2007,52
IL,2007,58
PA,2007,66
NJ,2007,66
DE,2007,66
MD,2007,66
AZ,2007,113
PA,2007,77
MA,2007,38
WI,2007,44
ID,2007,48
OK,2007,40
PR,2007,7
WA,2007,38
FL,2007,38
ME,2007,34
OR,2007,39
WA,2007,39
OH,2007,33
PA,2007,16
AZ,2007,18
RI,2007,48
MA,2007,48
UT,2007,54
CO,2007,28
WA,2007,21
IL,2007,38
MO,2007,38
WI,2007,42
NC,2007,55
SD,2007,45
PA,2007,44
CA,2007,39
MN,2007,42
CA,2007,44
NV,2007,48
IN,2007,24
VA,2007,56
KY,2007,49
CA,2007,108
WY,2007,44
VA,2007,52
MN,2007,48
NY,2007,39
WY,2007,46
IL,2007,36
ME,2007,34
NC,2007,50
GA,2007,56
OR,2007,24
NM,2007,24
NM,2007,13
AR,2007,49
VT,2007,23
CA,2007,71
AZ,2007,19
OH,2007,18
OR,2007,30
CA,2007,35
MD,2007,50
DE,2007,50
UT,2007,60
TX,2007,48
CA,2007,67
CA,2007,45
CA,2007,51
PR,2007,37
CA,2007,54
ID,2007,12
CA,2007,34
NM,2007,30
CA,2007,48
CA,2007,35
MI,2007,43
GA,2007,55
NE,2007,36
AL,2007,9
PA,2007,44
AR,2007,44
WA,2007,46
FL,2007,36
SC,2007,44
TN,2007,58
IN,2007,49
WI,2007,44
WA,2007,23
WY,2007,28
AZ,2007,46
LA,2007,46
AZ,2007,45
NM,2007,41
IA,2007,38
NE,2007,38
SD,2007,38
SD,2007,37
KY,2007,45
CA,2007,42
IN,2007,52
MI,2007,52
SC,2007,58
WA,2007,46
IL,2007,37
MA,2007,48
MO,2007,47
OH,2007,44
MN,2007,35
UT,2007,46
MO,2007,53
KS,2007,53
MO,2007,80
IL,2007,80
PA,2007,48
CO,2007,19
CA,2007,48
GA,2007,49
NY,2007,38
OK,2007,38
AL,2007,51
FL,2007,54
FL,2007,60
NM,2007,17
IN,2007,56
TX,2007,48
AR,2007,48
OR,2007,21
OH,2007,46
KS,2007,40
CT,2007,39
MI,2007,42
NJ,2007,47
CA,2007,57
AZ,2007,50
OK,2007,54
MS,2007,49
AL,2007,47
ID,2007,30
TX,2007,37
CA,2007,31
HI,2007,21
NY,2007,42
GA,2007,41
CA,2007,45
