State,Year,Median AQI
SD,2015,24
WA,2015,22
PR,2015,20
MI,2015,42
OH,2015,52
GA,2015,42
OR,2015,23
NY,2015,38
NM,2015,49
LA,2015,27
PA,2015,50
NJ,2015,50
PA,2015,44
TX,2015,42
GA,2015,34
IA,2015,36
AK,2015,35
MI,2015,42
WI,2015,38
OK,2015,25
AR,2015,33
NC,2015,42
OH,2015,31
OH,2015,28
TN,2015,32
GA,2015,38
GA,2015,55
NJ,2015,37
GA,2015,43
SC,2015,43
ME,2015,32
TX,2015,44
CA,2015,84
MD,2015,51
ME,2015,37
WI,2015,36
MA,2015,34
LA,2015,52
MI,2015,33
TX,2015,44
WI,2015,38
WV,2015,24
WA,2015,30
MN,2015,17
OR,2015,33
VT,2015,37
NH,2015,45
VT,2015,45
MT,2015,28
AL,2015,48
CA,2015,48
ND,2015,37
VA,2015,39
IL,2015,37
IN,2015,39
ID,2015,43
NC,2015,23
MA,2015,47
NH,2015,47
CO,2015,44
KY,2015,38
MT,2015,22
MN,2015,33
MO,2015,34
WA,2015,18
CT,2015,46
SD,2015,36
TX,2015,42
GA,2015,34
NY,2015,45
NC,2015,32
VT,2015,36
MT,2015,30
MI,2015,38
MD,2015,42
OH,2015,40
FL,2015,36
NM,2015,43
NV,2015,43
WY,2015,41
CO,2015,11
IA,2015,42
WA,2015,23
PA,2015,34
IL,2015,42
WV,2015,34
SC,2015,36
NC,2015,49
SC,2015,49
VA,2015,36
TN,2015,44
GA,2015,44
WY,2015,42
IL,2015,57
IN,2015,57
WI,2015,57
CA,2015,52
OH,2015,52
KY,2015,52
IN,2015,52
NH,2015,35
VT,2015,35
WV,2015,35
TN,2015,43
KY,2015,43
CA,2015,36
MS,2015,38
OH,2015,55
IA,2015,49
PR,2015,1
ID,2015,30
CO,2015,44
MO,2015,38
SC,2015,43
GA,2015,46
AL,2015,46
IN,2015,43
OH,2015,44
NH,2015,33
TN,2015,28
NY,2015,34
TX,2015,41
TX,2015,39
OR,2015,16
CO,2015,36
IN,2015,47
CA,2015,15
FL,2015,33
NC,2015,43
TX,2015,50
GA,2015,37
AL,2015,38
IA,2015,56
IL,2015,56
OH,2015,45
AL,2015,38
IL,2015,41
FL,2015,37
NM,2015,16
CO,2015,63
IA,2015,37
MI,2015,55
ND,2015,35
KS,2015,13
AL,2015,33
GA,2015,28
DE,2015,41
PA,2015,38
MN,2015,36
WI,2015,36
CO,2015,43
NC,2015,42
TN,2015,31
TX,2015,33
PA,2015,39
WI,2015,33
IL,2015,40
CA,2015,63
AR,2015,4
TX,2015,50
KY,2015,44
IN,2015,42
NV,2015,29
WA,2015,21
KS,2015,20
PA,2015,40
NM,2015,42
OR,2015,40
CA,2015,36
WY,2015,41
IN,2015,53
KY,2015,53
AK,2015,54
WV,2015,37
NV,2015,44
ND,2015,38
MN,2015,38
NM,2015,44
NC,2015,40
AR,2015,37
MO,2015,37
NV,2015,45
AZ,2015,44
MI,2015,40
SC,2015,41
AL,2015,36
WI,2015,40
CO,2015,49
IA,2015,33
IL,2015,33
MO,2015,33
AL,2015,37
AR,2015,35
OK,2015,35
IN,2015,45
CA,2015,80
AL,2015,46
SC,2015,37
FL,2015,34
GA,2015,48
NV,2015,30
SC,2015,15
PA,2015,44
WY,2015,44
CO,2015,45
NC,2015,43
NE,2015,24
CO,2015,45
MI,2015,40
OR,2015,28
MT,2015,26
CO,2015,47
WI,2015,40
MA,2015,37
NC,2015,42
NC,2015,39
SC,2015,44
SC,2015,32
MS,2015,26
PR,2015,20
MS,2015,40
MD,2015,46
WV,2015,46
ID,2015,10
LA,2015,29
CA,2015,71
PA,2015,52
AR,2015,35
VA,2015,36
CT,2015,45
MS,2015,38
MT,2015,41
OR,2015,38
